user_id,track_id,listen_count,rating
USR_0001,2GRmo9dlcUUDPfhbQmeE2Q,3,3
USR_0001,2Bf44373HcrkFw3WBC5VW9,2,3
USR_0001,74vn8B6HTHl2QO86AUJXFo,28,5
USR_0001,0CPWIY1etGeJLg12CAuP4n,11,4
USR_0001,6G7DuXoSGeAf6BZivJdEjF,2,2
USR_0001,1XQJMzytCX3eIyk936dUpc,15,5
USR_0001,777nuLbhOcJsfmoaQCQSna,15,4
USR_0001,3sfydNh0QQAdnIAtDVG16H,2,3
USR_0001,6Zkl0z6XpRKOASu1KkvS0l,5,4
USR_0001,5nITnbvSzsHwu3ikOPsZca,9,4
USR_0001,3muYcLgruhebTCtenkLa40,6,4
USR_0001,2xVC2Xwx2F89v5rx7BwWQD,1,3
USR_0001,5mNV8Mz59bzyuQ53gTw0c0,3,2
USR_0001,3Ygywky0Y4zBvYzwzrrG3X,2,3
USR_0001,1RUxqobMDkexH6e7mliVtV,3,3
USR_0001,1TOvdMCrx3b5ubefwGhCGD,11,4
USR_0001,1jMaB19DiVR8OihLSuYFOt,12,5
USR_0001,36ECEkodXYhLPyBHjZCEHh,11,4
USR_0001,3GPzpZlnHgUfBPkuEtQymR,16,5
USR_0001,2XlHu0HcujBCkWMdIAvrqt,14,5
USR_0001,0NBAXi7pWtoiLo7oomWBKw,8,3
USR_0001,1Qf7H7d1TNP8VfPVDRLY0D,37,5
USR_0001,3ovZXjmh6I4cqjRdVoO61f,32,4
USR_0001,2gvasLGz1T93mGbCITgl23,10,4
USR_0001,6HeFnyZD1AwTQZp6eQzq6Z,23,5
USR_0001,3PXTIwwI5dmlgrY0iYQq4J,40,5
USR_0001,05fv1nZ1PvwgboUI4e9Nzr,4,3
USR_0001,2iaCM7WvOknQI1230hA9eK,12,4
USR_0001,0prLNHPLzTyroOlmWjyluS,11,5
USR_0001,2XcG1nMjOCvyVTqx7zw5NA,1,2
USR_0001,5cDI5fy6WTipWVNoVXWVmb,5,3
USR_0001,3BQLTtpQOYGXQY2lT3ZZeU,3,2
USR_0001,1wIQScwb3Y2Kn3Pk85FXb8,5,4
USR_0001,67P27XJlQeJWf3YC7G8Taf,2,1
USR_0001,4b0RAiqz6oEZvvpbiFuIAp,6,4
USR_0001,4gTyrZ0cv1J5YZgNQiNyN4,8,4
USR_0001,4bmCfE4V5iQYwv0Bcn8ssn,10,3
USR_0001,3u2Vp4XlMzq8DxN3fFaImD,36,5
USR_0001,2PtbdHcXDnUBwDUcwBFIMw,4,3
USR_0001,52k4etfWpH4I3DxitWIda5,11,3
USR_0001,4jBAC7sJxPWYKllFnVs10b,5,5
USR_0001,07LCO1xsdnd1epIsqGAMz3,1,2
USR_0001,7KwZNVEaqikRSBSpyhXK2j,2,1
USR_0002,5SbH1zs8ZfvwAJXUhsE5zO,4,4
USR_0002,1hAdFL0nX23YcYxjJ02yxs,5,4
USR_0002,2bGXJInVjTfeFKBUyXXzbp,13,5
USR_0002,2QOcDtnLi8V3aBjq4m7dbI,8,4
USR_0002,0Dou2nphs2oZYr7uOcW1YI,1,1
